"Date","home","away","Home Score","Away Score","result","Tries scored H","Tries scored A","Neutral venue","Crowds"
2010-02-13,"Northampton Saints","Newcastle Falcons",25,13,"Home",NA,NA,0,1
2010-02-13,"Gloucester","Harlequins",46,6,"Home",NA,NA,0,1
2010-02-14,"Yorkshire","Leicester Tigers",9,14,"Away",NA,NA,0,1
2010-02-14,"Wasps","Sale Sharks",22,16,"Home",NA,NA,0,1
2010-02-14,"London Irish","Bath",22,35,"Away",NA,NA,0,1
2010-02-19,"Sale Sharks","Yorkshire",10,19,"Away",NA,NA,0,1
2010-02-20,"Bath","Worcester Warriors",37,13,"Home",NA,NA,0,1
2010-02-20,"Leicester Tigers","Gloucester",33,11,"Home",NA,NA,0,1
2010-02-20,"Harlequins","Northampton Saints",13,6,"Home",NA,NA,0,1
2010-02-20,"Newcastle Falcons","London Irish",12,12,"Draw",NA,NA,0,1
2010-02-21,"Wasps","Saracens",9,0,"Home",NA,NA,0,1
2010-02-26,"Worcester Warriors","Newcastle Falcons",13,0,"Home",NA,NA,0,1
2010-02-27,"Gloucester","Sale Sharks",47,3,"Home",NA,NA,0,1
2010-02-27,"Northampton Saints","Leicester Tigers",19,3,"Home",NA,NA,0,1
2010-02-28,"Yorkshire","Wasps",26,10,"Home",NA,NA,0,1
2010-02-28,"Saracens","Bath",14,16,"Away",NA,NA,0,1
2010-02-28,"London Irish","Harlequins",29,14,"Home",NA,NA,0,1
2010-03-06,"Harlequins","Worcester Warriors",14,11,"Home",NA,NA,0,1
2010-03-06,"Leicester Tigers","London Irish",35,19,"Home",NA,NA,0,1
2010-03-07,"Sale Sharks","Northampton Saints",7,15,"Away",NA,NA,0,1
2010-03-07,"Yorkshire","Saracens",19,12,"Home",NA,NA,0,1
2010-03-07,"Wasps","Gloucester",24,19,"Home",NA,NA,0,1
2010-03-07,"Newcastle Falcons","Bath",13,17,"Away",NA,NA,0,1
2010-03-19,"Sale Sharks","Wasps",19,8,"Home",NA,NA,0,1
2010-03-27,"Bath","Harlequins",24,13,"Home",NA,NA,0,1
2010-03-27,"Worcester Warriors","Leicester Tigers",18,39,"Away",NA,NA,0,1
2010-03-27,"Gloucester","Yorkshire",19,0,"Home",NA,NA,0,1
2010-03-27,"Northampton Saints","Wasps",14,9,"Home",NA,NA,0,1
2010-03-28,"Saracens","Newcastle Falcons",58,15,"Home",NA,NA,0,1
2010-03-28,"London Irish","Sale Sharks",38,0,"Home",NA,NA,0,1
2010-03-31,"Newcastle Falcons","Gloucester",25,13,"Home",NA,NA,0,1
2010-04-02,"Sale Sharks","Worcester Warriors",17,3,"Home",NA,NA,0,1
2010-04-03,"Yorkshire","Northampton Saints",7,14,"Away",NA,NA,0,1
2010-04-03,"Leicester Tigers","Bath",43,20,"Home",NA,NA,0,1
2010-04-03,"Harlequins","Newcastle Falcons",23,14,"Home",NA,NA,0,1
2010-04-03,"Gloucester","Saracens",29,28,"Home",NA,NA,0,1
2010-04-04,"Wasps","London Irish",33,22,"Home",NA,NA,0,1
2010-04-09,"Sale Sharks","Saracens",19,30,"Away",NA,NA,0,1
2010-04-10,"Harlequins","Yorkshire",46,11,"Home",NA,NA,0,1
2010-04-10,"Worcester Warriors","London Irish",13,23,"Away",NA,NA,0,1
2010-04-17,"Bath","Sale Sharks",34,15,"Home",NA,NA,0,1
2010-04-17,"Worcester Warriors","Wasps",20,24,"Away",NA,NA,0,1
2010-04-17,"Northampton Saints","Gloucester",38,23,"Home",NA,NA,0,1
2010-04-17,"Saracens","Harlequins",37,18,"Home",NA,NA,0,1
2010-04-18,"Newcastle Falcons","Leicester Tigers",7,31,"Away",NA,NA,0,1
2010-04-18,"London Irish","Yorkshire",13,23,"Away",NA,NA,0,1
2010-04-20,"Bath","Northampton Saints",21,20,"Home",NA,NA,0,1
2010-04-23,"Sale Sharks","Newcastle Falcons",30,32,"Away",NA,NA,0,1
2010-04-24,"Northampton Saints","Saracens",27,28,"Away",NA,NA,0,1
2010-04-24,"Leicester Tigers","Harlequins",40,22,"Home",NA,NA,0,1
2010-04-24,"Gloucester","London Irish",34,20,"Home",NA,NA,0,1
2010-04-24,"Wasps","Bath",19,35,"Away",NA,NA,0,1
2010-04-25,"Yorkshire","Worcester Warriors",12,10,"Home",NA,NA,0,1
2010-05-08,"Worcester Warriors","Gloucester",22,23,"Away",NA,NA,0,1
2010-05-08,"Newcastle Falcons","Wasps",21,25,"Away",NA,NA,0,1
2010-05-08,"London Irish","Northampton Saints",7,31,"Away",NA,NA,0,1
2010-05-08,"Leicester Tigers","Saracens",23,32,"Away",NA,NA,0,1
2010-05-08,"Harlequins","Sale Sharks",35,20,"Home",NA,NA,0,1
2010-05-08,"Bath","Yorkshire",39,3,"Home",NA,NA,0,1
2010-05-16,"Northampton Saints","Saracens",19,21,"Away",NA,NA,0,1
2010-05-16,"Leicester Tigers","Bath",15,6,"Home",NA,NA,0,1
2010-05-29,"Leicester Tigers","Saracens",33,27,"Home",NA,NA,1,1
2010-09-03,"Sale Sharks","Newcastle Falcons",35,18,"Home",NA,NA,0,1
2010-09-04,"London Irish","Saracens",33,16,"Home",NA,NA,0,1
2010-09-04,"Exeter Chiefs","Gloucester",22,10,"Home",NA,NA,0,1
2010-09-04,"Wasps","Harlequins",29,29,"Draw",NA,NA,0,1
2010-09-05,"Yorkshire","Bath",16,32,"Away",NA,NA,0,1
2010-09-05,"Northampton Saints","Leicester Tigers",27,19,"Home",NA,NA,0,1
2010-09-10,"Newcastle Falcons","Wasps",29,17,"Home",NA,NA,0,1
2010-09-11,"Harlequins","Northampton Saints",16,20,"Away",NA,NA,0,1
2010-09-11,"Bath","London Irish",20,13,"Home",NA,NA,0,1
2010-09-11,"Gloucester","Yorkshire",22,21,"Home",NA,NA,0,1
2010-09-11,"Leicester Tigers","Exeter Chiefs",37,27,"Home",NA,NA,0,1
2010-09-12,"Saracens","Sale Sharks",28,13,"Home",NA,NA,0,1
2010-09-17,"Sale Sharks","Harlequins",21,17,"Home",NA,NA,0,1
2010-09-17,"Northampton Saints","Bath",31,10,"Home",NA,NA,0,1
2010-09-18,"Exeter Chiefs","Newcastle Falcons",22,17,"Home",NA,NA,0,1
2010-09-18,"Wasps","Leicester Tigers",37,30,"Home",NA,NA,0,1
2010-09-19,"Yorkshire","Saracens",14,26,"Away",NA,NA,0,1
2010-09-19,"London Irish","Gloucester",23,16,"Home",NA,NA,0,1
